Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
ak,10534733,1,"Tuesday, August 14, 2012 14:37:46 UTC",63.4308,-145.0373,2.8,14.50,35,"Central Alaska"
ci,15192681,0,"Tuesday, August 14, 2012 14:29:40 UTC",36.2233,-118.3183,2.5,2.80,44,"Central California"
us,c000bzeq,6,"Tuesday, August 14, 2012 14:02:25 UTC",38.3589,46.7252,5.1,4.90,210,"northwestern Iran"
ci,15192657,0,"Tuesday, August 14, 2012 12:41:48 UTC",32.0398,-116.3650,2.5,14.90,27,"Baja California, Mexico"
us,c000bzdf,3,"Tuesday, August 14, 2012 12:31:23 UTC",39.2188,-29.5345,4.6,10.10,68,"Azores Islands, Portugal"
us,c000bzc5,9,"Tuesday, August 14, 2012 12:06:15 UTC",28.7264,142.5617,5.2,43.50,340,"Bonin Islands, Japan region"
us,c000bzbc,5,"Tuesday, August 14, 2012 10:55:42 UTC",23.9562,121.6196,5.1,20.30,140,"Taiwan"
us,c000bzaw,4,"Tuesday, August 14, 2012 10:08:58 UTC",-15.3682,-173.3382,4.4,14.50,55,"Tonga"
us,c000bza0,9,"Tuesday, August 14, 2012 08:55:05 UTC",39.5054,15.3309,4.2,271.10,149,"southern Italy"
pr,12227001,0,"Tuesday, August 14, 2012 08:40:04 UTC",19.1755,-66.7939,2.9,27.00,14,"Puerto Rico region"
uu,00010900,2,"Tuesday, August 14, 2012 07:17:35 UTC",38.7233,-112.5348,3.1,0.30,21,"Utah"
us,c000bz9f,4,"Tuesday, August 14, 2012 07:09:28 UTC",33.8243,141.6926,4.6,24.40,47,"off the east coast of Honshu, Japan"
nc,71831291,1,"Tuesday, August 14, 2012 04:48:31 UTC",40.2987,-124.4540,2.7,20.30,12,"offshore Northern California"
us,c000bz29,B,"Tuesday, August 14, 2012 02:59:42 UTC",49.7843,145.1259,7.7,625.90,999,"Sea of Okhotsk"
us,c000bz22,6,"Tuesday, August 14, 2012 02:39:30 UTC",36.5462,70.9656,4.5,197.50,84,"Hindu Kush region, Afghanistan"
us,c000bz1s,4,"Tuesday, August 14, 2012 02:13:59 UTC",-59.1616,-26.1673,5.2,88.00,44,"South Sandwich Islands region"
us,c000bz1n,6,"Tuesday, August 14, 2012 02:06:48 UTC",23.8847,122.6068,4.8,25.40,92,"Taiwan region"
us,c000bz16,6,"Tuesday, August 14, 2012 00:45:51 UTC",36.5384,70.0939,4.1,211.40,28,"Hindu Kush region, Afghanistan"
ak,10534424,1,"Monday, August 13, 2012 23:16:22 UTC",59.3044,-152.6269,2.5,70.40,33,"Southern Alaska"
us,b000bw5h,7,"Monday, August 13, 2012 21:12:29 UTC",2.7955,92.1291,4.7,10.20,45,"off the west coast of northern Sumatra"
us,b000bw3l,7,"Monday, August 13, 2012 20:33:00 UTC",34.8592,73.6724,5.4,35.00,272,"Pakistan"
pr,12226003,0,"Monday, August 13, 2012 18:34:47 UTC",18.1643,-67.4984,3.2,22.00,10,"Mona Passage, Puerto Rico"
us,2012efam,4,"Monday, August 13, 2012 15:19:51 UTC",12.0607,-88.3166,4.3,44.40,25,"near the coast of Nicaragua"
pr,12226002,0,"Monday, August 13, 2012 14:19:36 UTC",18.7166,-65.9185,3.0,61.00, 8,"Puerto Rico region"
ci,15191649,3,"Monday, August 13, 2012 14:03:47 UTC",35.9547,-117.6692,3.5,2.30,64,"Central California"
ak,10533990,1,"Monday, August 13, 2012 12:55:17 UTC",61.0146,-145.5287,3.1,9.70,63,"Southern Alaska"
ak,10533980,1,"Monday, August 13, 2012 12:05:57 UTC",63.2552,-150.5379,2.6,133.50,41,"Central Alaska"
us,b000bvlk,6,"Monday, August 13, 2012 10:45:46 UTC",38.2376,46.5396,4.4,10.00,35,"northwestern Iran"
us,b000bvlb,2,"Monday, August 13, 2012 09:35:16 UTC",-17.5379,-178.7273,4.4,518.30,72,"Fiji region"
ak,10533926,1,"Monday, August 13, 2012 08:39:00 UTC",61.1725,-151.5784,2.9,62.30,52,"Southern Alaska"
us,b000bvjz,4,"Monday, August 13, 2012 08:16:51 UTC",38.1839,46.9959,4.1,10.00,16,"northwestern Iran"
us,b000bvjh,6,"Monday, August 13, 2012 07:30:53 UTC",38.3538,13.8908,4.4,10.00,36,"Sicily, Italy"
us,b000bvi7,7,"Monday, August 13, 2012 05:32:46 UTC",-5.7092,-76.8711,4.9,112.90,439,"northern Peru"
pr,12226001,0,"Monday, August 13, 2012 04:39:59 UTC",19.1590,-68.4036,3.7,115.00,11,"Dominican Republic region"
ak,10533849,2,"Monday, August 13, 2012 03:46:20 UTC",57.8726,-155.7139,3.7,4.80,45,"Alaska Peninsula"
us,b000bvge,5,"Monday, August 13, 2012 01:56:12 UTC",38.1519,46.4698,4.6,12.50,51,"northwestern Iran"
ak,10533823,1,"Monday, August 13, 2012 01:48:19 UTC",63.1046,-150.1346,2.5,133.60, 9,"Central Alaska"
ak,10533815,1,"Monday, August 13, 2012 00:36:06 UTC",57.9961,-152.1378,2.7,90.90,26,"Kodiak Island region, Alaska"
ak,10533799,1,"Monday, August 13, 2012 00:01:54 UTC",62.2087,-149.5623,2.7,38.40,50,"Central Alaska"
